Player Name,Position,Team,League,Minutes,Passes attempted,xPass Rating,Average pass difficulty
Patrick Herrmann,Mid,Borussia M.Gladbach,Bundesliga,1889.5166666666669,483,0.9364925453535882,74.94596273291924
Christoph Kramer,Mid,Borussia M.Gladbach,Bundesliga,4327.4,2653,1.0176881652756429,88.03942706370125
Raffael,FW,Borussia M.Gladbach,Bundesliga,3700.5333333333338,1256,0.98945213808522,84.32898089171985
Jonas Hofmann,Mid,Borussia M.Gladbach,Bundesliga,2530.7166666666667,778,0.9748379931122102,80.42994858611824
Josip Drmic,FW,Borussia M.Gladbach,Bundesliga,817.8166666666666,177,0.9069521633877732,82.8502824858757
Nico Schulz,Def,Borussia M.Gladbach,Bundesliga,448.55,179,1.0300837273183483,84.60558659217878
Thorgan Hazard,Mid,Borussia M.Gladbach,Bundesliga,4759.55,1629,0.975550876849878,80.35629220380616
Vincenzo Grifo,Mid,Borussia M.Gladbach,Bundesliga,830.1499999999999,348,0.991573455102944,78.53534482758624
Nico Elvedi,Def,Borussia M.Gladbach,Bundesliga,5242.366666666667,2471,1.028472753231433,86.05641440712287
Denis Zakaria,Mid,Borussia M.Gladbach,Bundesliga,2397.483333333333,886,1.0360976418417656,89.87099322799111
Michaël Cuisance,Mid,Borussia M.Gladbach,Bundesliga,1274.5333333333333,583,1.0113177140930818,83.44665523156094
Reece Oxford,Def,Borussia M.Gladbach,Bundesliga,489.16666666666663,194,1.0020300869293628,79.22061855670107
Mahmoud Dahoud,Mid,Borussia M.Gladbach,Bundesliga,2356.516666666667,1442,0.9808147785780336,85.9061026352291
László Bénes,Mid,Borussia M.Gladbach,Bundesliga,342.6333333333334,241,1.027125906071781,84.83568464730294
Marvin Matip,Def,Ingolstadt,Bundesliga,3115.7166666666667,922,1.012129765085397,75.54783080260319
Marcel Tisserand,Def,Ingolstadt,Bundesliga,2511.15,783,1.023631108080674,74.36028097062582
Romain Brégerie,Def,Ingolstadt,Bundesliga,1597.966666666667,469,0.9998199249059968,79.33198294243081
